A_AA,A_AT,A_CA,A_GC,A_TC,A_TT,C_AC,C_GA,C_TT,G_AG,G_AT,G_CG,G_GA,G_GC,G_GG,G_TC,G_TT,T_AT,T_CC,T_GA,T_GC,T_GG,T_TT,k-tsallis12.3,k-tsallis22.3,k-tsallis32.3,k-tsallis42.3,k-tsallis52.3
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.3935500927830373,-0.47358707274703654,-0.4904120782822182,-0.19655020709042656,-0.4969453559451589,-0.4939786432388143,-0.4997336582449442,-0.5443495535103486,-0.34418491926561584,-0.4167293422513535,-0.4618806626484574,-0.49911463873166284,-0.5717273248394174,-0.5430321668566811,-0.5674057645203665,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.5069824215427131,-0.6080210092102011,-0.30824781055915695,-1.7935360632748738,-1.4044208770451236,-1.5446511453236096,-1.9067072178874929
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.4554772878491784,-0.47358707274703654,-0.4904120782822182,-0.07102099652614925,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.47209037336384896,-0.4167293422513535,-0.5325159280495789,-0.4543794324442439,-0.5717273248394174,-0.4640438356939872,-0.5674057645203665,-0.45381681541592733,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.353198848311855,-0.4314826091901275,-0.8734165240989377,-1.5446511453236096,-1.9067072178874929
-0.4993044247971477,-0.3282966107633057,-0.43097617935479204,-0.3935500927830373,-0.47358707274703654,-0.4904120782822182,-0.19655020709042656,-0.4969453559451589,-0.4939786432388143,-0.4997336582449442,-0.4636708292251692,-0.4081376463147324,-0.4167293422513535,-0.4618806626484574,-0.49911463873166284,-0.5717273248394174,-0.5430321668566811,-0.5674057645203665,-0.45381681541592733,-0.4529388345943609,-0.4837289521931159,-0.5069824215427131,-0.6080210092102011,0.13626125601854203,0.14366280934606415,-0.06111893780421926,-1.3550980332274867,-1.9067072178874929
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.4554772878491784,-0.47358707274703654,-0.4904120782822182,-0.19655020709042656,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.47209037336384896,-0.4167293422513535,-0.5325159280495789,-0.4543794324442439,-0.5717273248394174,-0.4640438356939872,-0.46650212754115983,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.353198848311855,-0.12029809737692854,-0.34241217115271455,-1.3550980332274867,-1.9067072178874929
-0.42785790348571373,-0.42648463453246854,-0.43097617935479204,-0.3935500927830373,-0.47358707274703654,-0.613723785827169,-0.19655020709042656,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.4081376463147324,-0.4167293422513535,-0.5325159280495789,-0.4543794324442439,-0.5717273248394174,-0.4640438356939872,-0.5674057645203665,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.040066817051422836,-0.384043157388529,-0.7485609643000738,-1.1655449211313103,-1.9067072178874929
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.4554772878491784,-0.47358707274703654,-0.4904120782822182,-0.07102099652614925,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.47209037336384896,-0.4167293422513535,-0.5325159280495789,-0.4543794324442439,-0.5717273248394174,-0.4640438356939872,-0.5674057645203665,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.24784613188257365,-0.5289261476712875,-0.5921232907504053,-1.5446511453236096,-1.9067072178874929
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.4554772878491784,-0.3743580981789526,-0.4904120782822182,-0.19655020709042656,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.47209037336384896,-0.4167293422513535,-0.5325159280495789,-0.4543794324442439,-0.5717273248394174,-0.4640438356939872,-0.5674057645203665,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.581878014917741,-0.2083176559986277,-0.4672677309515414,-1.1655449211313103,-1.9067072178874929
-0.42785790348571373,-0.42648463453246854,-0.43097617935479204,-0.3935500927830373,-0.47358707274703654,-0.613723785827169,-0.19655020709042656,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.4081376463147324,-0.4167293422513535,-0.5325159280495789,-0.4543794324442439,-0.5717273248394174,-0.4640438356939872,-0.5674057645203665,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.15448397843240513,-0.021735433845262997,-0.4672677309515414,-1.1655449211313103,-1.9067072178874929
-0.42785790348571373,-0.42648463453246854,-0.43097617935479204,-0.4554772878491784,-0.3743580981789526,-0.613723785827169,-0.19655020709042656,-0.4969453559451589,-0.6189496537900232,-0.4997336582449442,-0.5443495535103486,-0.47209037336384896,-0.4167293422513535,-0.5325159280495789,-0.4543794324442439,-0.5717273248394174,-0.4640438356939872,-0.5674057645203665,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.44769818676554096,-0.6080210092102011,0.4214616516310717,-0.5424064287817946,-0.8734165240989377,-1.3550980332274867,-1.9067072178874929
-0.4993044247971477,-0.42648463453246854,-0.515487661557347,-0.3935500927830373,-0.47358707274703654,-0.4904120782822182,-0.07102099652614925,-0.4298577328925624,-0.4939786432388143,-0.4997336582449442,-0.5443495535103486,-0.34418491926561584,-0.4167293422513535,-0.4618806626484574,-0.49911463873166284,-0.5717273248394174,-0.5430321668566811,-0.5674057645203665,-0.5420120416434456,-0.4529388345943609,-0.4837289521931159,-0.5069824215427131,-0.6080210092102011,-0.19666293469512536,-1.7935360632748738,-1.7379885433822186,-1.7342042574197327,-2.15282778644196
