iter	Passed	Remaining
136	48487	130377
137	48780	1298411138	49074	1293111139	49498	1291211140	49832	1287031141	50228	1284411142	50568	1280311143	50832	1274311144	51276	127294
145	51695	127084
146	52006	126609
147	52361	126242
148	52652	125721
149	52978	125287
150	53411	125105
151	53749	124697
152	54101	124325
153	54468	123987
154	54833	123644
155	55207	123319
156	55539	122902
157	56029	122833
158	56281	122242
159	56589	121775
160	56927	121373
161	57259	120961
162	57619	120608
163	57964	120223
164	58192	119597
165	58550	1192431166	58847	1187641167	59221	1184421168	59504	1179401169	59807	1174781170	60183	1171621171	60529	1167861172	60850	1163611173	61219	1160331174	61543	1156161175	61931	1153211176	62349	1150801177	62718	1147451178	63022	114295179	65417	124604
180	65763	124133
181	66223	123877
182	66572	123412
183	66959	123018
184	67324	122584
1185	65515	1118031186	65852	1114141187	66326	1112571188	66770	1110461189	67184	1107821190	67641	110587
191	67972	110187
192	68337	109840
193	68640	109395
194	69035	1090981195	69267	1085421196	69599	108147
197	69911	107721
198	70225	1072981199	70513	1068382200	70875	1064912201	71282	1062102202	71631	1058432203	72028	1055462204	72464	1053052205	72893	1050522206	73266	1047172207	73609	1043402208	73968	1039852209	74326	1036282210	74620	1031822211	74963	1028062212	75189	1022722213	75525	101888214	78480	112396
2215	76344	1013172216	76812	1011072217	77184	100769
218	77521	100385
219	77832	99967
220	78213	99642
221	78651	99387
222	79035	99062
223	79417	98735
224	79726	98318
225	80018	97879
226	80365	97510
227	80696	97121
228	81088	96806
229	81472	96480
230	81778	96062
231	82052	95608
232	82389	95228
233	82741	94867
234	83146	94565
235	83430	94126
236	83735	93712
237	84081	93345
238	84536	93097
239	84913	92762
240	85226	92358
241	85560	91978
242	85843	91542
243	86137	91120
244	86599	90875
245	86990	90556
246	87357	90210
247	87623	89760
248	87954	89379
249	88302	89014
250	88633	88633
251	88956	88244
252	89380	87956
253	89775	87637
254	90082	87234
255	90437	86876
256	90810	86536
257	91154	86169
258	91393	85703
259	91735	85334
260	92107	84995
261	92344	84530
262	92579	84066
263	92892	83674
264	93321	83386
265	93617	82978
266	94072	82712
267	94455	82382
268	94766	81988
269	95115	81628
270	95400	81214
271	95745	80851
272	96163	80550
273	96441	80131
274	96732	79724
275	96969	79273
276	97322	78919
277	97731	78610
278	97956	78152
279	98361	77839
280	98610	77404
281	98957	77045
282	99247	76643
283	99561	76259
284	99952	75935
285	100171	75481
286	100476	75093
287	100888	74784
288	101262	74447
289	101637	74110
290	102026	73784
291	102391	73439
292	102705	73058
293	103161	72778
294	103161	72778
295	103585	72120
296	103896	71737
297	104266	71395
298	105186	71427
299	105498	71042
300	105836	70676
301	106239	70352
302	106536	69958
303	106846	69574
304	107145	69183
305	107476	68813
306	107783	68428
307	108125	68065
30306	113017	770730307	113017	7707310	109239	67033
311	109550	66652
312	110035	66376
313	110377	66013
314	110678	65626
315	111044	65278
316	111401	64925
317	111684	64528
318	112101	64210
319	112533	63899
320	112893	63546
321	113255	63195
322	113255	63195
323	114343	62889
324	114726	62545
325	115192	62246
326	115471	61846
327	115471	61846
328	116423	61445
329	116423	61445
330	117343	61018
331	117733	60672
332	118109	60318
333	118399	59921
334	118691	59526
335	119063	59170
336	119322	58760
337	119589	58354
338	119862	57951
339	120148	57556
34338	125946	658334339	126359	654234340	126751	650134341	126751	650134342	127718	6447345	122294	55392
346	122604	55010
347	123020	54675
348	123340	54298
349	123642	53913
350	123996	53552
351	124358	53193
352	124741	52844
353	125075	52474
354	125423	52110
355	125749	51737
356	126049	51353
357	126448	51010
358	126836	50662
359	127085	50259
360	127430	49895
361	127844	49557
362	128230	49208
363	128603	48854
364	129027	48520
365	129433	48177
366	129847	47838
367	130042	47418
368	130441	47073
369	130793	46711
370	131278	46396
371	131652	46042
372	132026	45687
373	132411	45336
374	132706	44954
375	132998	44572
376	133367	44216
377	133810	43884
378	134378	43591
379	134721	43226
380	135133	42882
381	135622	42562
382	136051	42222
383	136449	41873
384	136665	41468
385	136967	41090
386	137329	40730
387	137599	40343
388	137900	39965
389	138207	39590
390	138550	39225
391	138961	38880
392	139260	38503
393	139608	38140
394	139912	37765
395	140265	37404
396	140576	37031
397	140931	36670
398	141285	36310
399	141577	35933
400	141888	35561
401	142216	35194
402	142568	34834
403	142866	34460
404	143236	34104
405	143522	33727
406	143812	33352
407	144219	33005
408	144481	32624
409	144720	32239
410	145048	31874
411	145416	31518
412	145766	31158
413	146205	30817
414	146545	30455
415	146935	30103
416	147255	29737
417	147531	29363
418	147873	29001
419	148147	28627
420	148532	28274
421	148924	27923
422	149222	27554
423	149611	27202
424	149992	26848
425	150332	26487
426	150692	26129
427	150962	25756
428	151445	25419
429	151711	25046
430	151989	24675
431	152379	24323
432	152685	23957
433	152905	23578
434	153213	23214
435	153576	22857
436	153945	22502
437	154349	22152
438	154747	21800
439	155196	21455
440	155492	21089
441	155843	20731
442	156317	20389
443	156636	20026
444	156873	19653
445	157252	19299
446	157725	18955
447	158110	18601
448	158416	18237
449	158775	17880
450	159187	17528
451	159492	17165
452	159798	16802
453	160167	16445
454	160531	16088
455	160850	15727
456	161250	15374
457	161553	15011
458	162066	14668
459	162406	14308
460	162825	13956
461	163159	13596
462	163398	13229
463	163683	12865
464	163683	12865
465	164045	12151
466	164351	11790
467	165377	11479
468	165671	11116
469	166048	10759
470	166325	10395
471	166723	10039
472	167023	9677
473	167470	9323
474	167831	8965
475	168203	8607
476	168568	8249
477	168948	7891
478	169274	7531
479	169658	7173
480	169968	6813
481	170320	6454
482	170618	6093
483	170936	5733
484	171411	5379
485	171738	5019
486	172109	4661
487	172289	4298
488	172581	3938
489	172700	3575
490	172877	3214
491	173032	2854
492	173798	2503
493	173956	2143
494	174072	1783
495	174493	18256496	174494	18264497	174495	1827498	1743496	182499	17447497	182847	805
498	182886	401
499	182926	0
11	778
499	181215	0
